Strain Category,microcin,total_assemblies,relative_microcin,odds,LOE
Bird_Faecal,42,185,0.22702702702702704,0.969661210506281,-0.013379977185578026
Human_Extra-intestinal,46,104,0.4423076923076923,1.889152221018418,0.27626695320232897
Human_Faecal,17,72,0.2361111111111111,1.0084604851330203,0.0036588857665407616
Human_Intestinal,33,172,0.19186046511627908,0.8194603668522764,-0.08647204621012616
Mammal_Faecal,26,117,0.2222222222222222,0.9491392801251956,-0.02267005295580841
Poultry_Meat,94,283,0.3321554770318021,1.418678146618225,0.15188387889494365
Water,26,280,0.09285714285714286,0.3966046277665996,-0.40164222255186594
