a_component,b_verified,c_pcat_hits_assembly,d_mfp_hits_assembly,e_immunity_contig,variable,value,id,x,y
Microcin Hits,Novel Microcin,Contains PCAT,Contains MFP,IP Absent,n,21,2,e_immunity_contig,IP Absent
Microcin Hits,Novel Microcin,Contains PCAT,MFP Absent,Contains IP,n,5,3,e_immunity_contig,Contains IP
Microcin Hits,Novel Microcin,Contains PCAT,MFP Absent,IP Absent,n,1,4,e_immunity_contig,IP Absent
Microcin Hits,Novel Microcin,PCAT Absent,Contains MFP,Contains IP,n,4,5,e_immunity_contig,Contains IP
Microcin Hits,Novel Microcin,PCAT Absent,Contains MFP,IP Absent,n,3,6,e_immunity_contig,IP Absent
Microcin Hits,Novel Microcin,PCAT Absent,MFP Absent,Contains IP,n,10,7,e_immunity_contig,Contains IP
Microcin Hits,Novel Microcin,PCAT Absent,MFP Absent,IP Absent,n,7,8,e_immunity_contig,IP Absent
Microcin Hits,Verified Microcin,Contains PCAT,Contains MFP,Contains IP,n,85,9,e_immunity_contig,Contains IP
Microcin Hits,Verified Microcin,Contains PCAT,Contains MFP,IP Absent,n,142,10,e_immunity_contig,IP Absent
Microcin Hits,Verified Microcin,Contains PCAT,MFP Absent,Contains IP,n,2,11,e_immunity_contig,Contains IP
Microcin Hits,Verified Microcin,Contains PCAT,MFP Absent,IP Absent,n,5,12,e_immunity_contig,IP Absent
Microcin Hits,Verified Microcin,PCAT Absent,Contains MFP,Contains IP,n,2,13,e_immunity_contig,Contains IP
Microcin Hits,Verified Microcin,PCAT Absent,Contains MFP,IP Absent,n,6,14,e_immunity_contig,IP Absent
Microcin Hits,Verified Microcin,PCAT Absent,MFP Absent,Contains IP,n,7,15,e_immunity_contig,Contains IP
Microcin Hits,Verified Microcin,PCAT Absent,MFP Absent,IP Absent,n,27,16,e_immunity_contig,IP Absent
