family_name,ID
Pasteurellaceae,GCF_002015085.1
Pasteurellaceae,GCF_002795425.1
Pasteurellaceae,GCF_004345745.1
Pasteurellaceae,GCF_000372365.1
Pasteurellaceae,GCF_000827595.2
Pasteurellaceae,GCF_900635775.1
Pasteurellaceae,GCF_009761395.1
Pasteurellaceae,GCF_000374285.1
Pasteurellaceae,GCF_000379905.1
Pasteurellaceae,GCF_000739435.1
Pasteurellaceae,GCF_002795405.1
Vibrionaceae,GCF_900163965.1
Vibrionaceae,GCF_000338875.1
Vibrionaceae,GCF_900089855.1
Vibrionaceae,GCF_003026455.1
Vibrionaceae,GCF_000764325.1
Vibrionaceae,GCF_003026355.1
Vibrionaceae,GCF_001471585.2
Vibrionaceae,GCF_008933155.1
Vibrionaceae,GCF_003350295.1
Vibrionaceae,GCF_900162645.1
Vibrionaceae,GCF_003569005.1
Vibrionaceae,GCF_001399455.2
Vibrionaceae,GCF_002954455.1
Vibrionaceae,GCF_900130105.1
Vibrionaceae,GCF_900233005.1
Vibrionaceae,GCF_000711805.1
Vibrionaceae,GCF_002265265.1
Vibrionaceae,GCF_003544875.1
Vibrionaceae,GCF_002218005.2
Vibrionaceae,GCF_001029435.1
Vibrionaceae,GCF_008801285.1
Vibrionaceae,GCF_002849855.1
Vibrionaceae,GCF_006538525.1
Vibrionaceae,GCF_003026365.1
Vibrionaceae,GCF_000426765.1
Vibrionaceae,GCF_000496695.1
Vibrionaceae,GCF_001895205.1
Vibrionaceae,GCF_003605645.1
Vibrionaceae,GCF_002218025.2
Vibrionaceae,GCF_000176135.1
Vibrionaceae,GCF_003026215.1
Vibrionaceae,GCF_003415655.1
Vibrionaceae,GCF_000467185.1
Vibrionaceae,GCF_001077885.1
Vibrionaceae,GCF_900100015.1
Vibrionaceae,GCF_003026475.1
Vibrionaceae,GCF_002934045.1
Vibrionaceae,GCF_009873615.1
Vibrionaceae,GCF_000967545.1
Vibrionaceae,GCF_000222585.1
Vibrionaceae,GCF_001029445.1
Vibrionaceae,GCF_900184095.1
Vibrionaceae,GCF_900089835.1
Vibrionaceae,GCF_000222605.1
Vibrionaceae,GCF_002156455.1
Vibrionaceae,GCF_001558255.2
Vibrionaceae,GCF_001547935.1
Vibrionaceae,GCF_006538565.1
Vibrionaceae,GCF_000176175.1
Vibrionaceae,GCF_005281815.1
Vibrionaceae,GCF_002156525.1
Vibrionaceae,GCF_009763805.1
Vibrionaceae,GCF_009938225.1
Vibrionaceae,GCF_005281835.1
Vibrionaceae,GCF_002218045.2
Vibrionaceae,GCF_000827885.1
Vibrionaceae,GCF_000176155.1
Vibrionaceae,GCF_003025595.1
Vibrionaceae,GCF_900167155.1
Vibrionaceae,GCF_009938205.1
Vibrionaceae,GCF_000417905.1
Vibrionaceae,GCF_006333845.1
Vibrionaceae,GCF_900166975.1
Vibrionaceae,GCF_003970425.1
Vibrionaceae,GCF_002156475.1
Vibrionaceae,GCF_900115495.1
Vibrionaceae,GCF_002811245.1
Vibrionaceae,GCF_000333895.2
Vibrionaceae,GCF_004551525.1
Vibrionaceae,GCF_003025615.1
Vibrionaceae,GCF_000189255.1
Vibrionaceae,GCF_900143745.1
Vibrionaceae,GCF_900166965.1
Vibrionaceae,GCF_000772105.1
Vibrionaceae,GCF_900089765.1
Vibrionaceae,GCF_001012815.1
Vibrionaceae,GCF_002849605.1
Vibrionaceae,GCF_003856525.1
Vibrionaceae,GCF_005281825.1
Vibrionaceae,GCF_001650345.1
Vibrionaceae,GCF_000940995.1
Vibrionaceae,GCF_001695575.1
Vibrionaceae,GCF_004120195.1
Vibrionaceae,GCF_900060185.1
Vibrionaceae,GCF_000740015.1
Vibrionaceae,GCF_001558495.2
Vibrionaceae,GCF_002216855.1
Vibrionaceae,GCF_003350325.1
Vibrionaceae,GCF_900129185.1
Vibrionaceae,GCF_005280275.1
Vibrionaceae,GCF_003026495.1
Vibrionaceae,GCF_001939735.1
Vibrionaceae,GCF_003026395.1
Vibrionaceae,GCF_001639065.2
Vibrionaceae,GCF_900185615.1
Vibrionaceae,GCF_002954715.1
Vibrionaceae,GCF_900055185.1
