GEMBASE_NAME,Isolation source,Strain Category,phylogroup
ESCO.0216.00108,Host-associated,Mammal_Faecal,B1
ESCO.0216.00109,Host-associated,Human_Intestinal,B2
ESCO.0216.00110,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00111,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00112,Host-associated,Mammal_Faecal,B2
ESCO.0216.00113,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00114,Host-associated,Mammal_Faecal,D
ESCO.0216.00115,Host-associated,Human_Intestinal,B2
ESCO.0216.00116,Host-associated,Bird_Faecal,A
ESCO.0216.00117,Host-associated,Mammal_Faecal,B1
ESCO.0216.00118,Host-associated,Human_Intestinal,D
ESCO.0216.00119,Host-associated,Mammal_Faecal,B2
ESCO.0216.00120,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00121,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00122,Environmental,Water,E
ESCO.0216.00123,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00124,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00125,Host-associated,Bird_Faecal,B1
ESCO.0216.00126,Environmental,Water,B1
ESCO.0216.00127,Host-associated,Poultry_Meat,B2
ESCO.0216.00128,Environmental,Water,E
ESCO.0216.00129,Host-associated,Human_Faecal,B2
ESCO.0216.00130,Host-associated,Human_Faecal,B2
ESCO.0216.00131,Host-associated,Human_Intestinal,B2
ESCO.0216.00133,Host-associated,Bird_Faecal,E
ESCO.0216.00134,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00135,Host-associated,Human_Intestinal,B2
ESCO.0216.00136,Host-associated,Bird_Faecal,B2
ESCO.0216.00137,Host-associated,Mammal_Faecal,E
ESCO.0216.00138,Host-associated,Human_Faecal,B2
ESCO.0216.00139,Host-associated,Bird_Faecal,E
ESCO.0216.00140,Host-associated,Mammal_Faecal,D
ESCO.0216.00141,Environmental,Water,B2
ESCO.0216.00142,Host-associated,Human_Extra-intestinal,B1
ESCO.0216.00143,Host-associated,Human_Intestinal,B2
ESCO.0216.00144,Host-associated,Human_Intestinal,B2
ESCO.0216.00145,Host-associated,Poultry_Meat,B2
ESCO.0216.00146,Host-associated,Bird_Faecal,D
ESCO.0216.00147,Host-associated,Bird_Faecal,A
ESCO.0216.00148,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00149,Host-associated,Human_Faecal,B2
ESCO.0216.00150,Host-associated,Human_Intestinal,B2
ESCO.0216.00151,Host-associated,Mammal_Faecal,B1
ESCO.0216.00152,Host-associated,Human_Extra-intestinal,C
ESCO.0216.00153,Host-associated,Mammal_Faecal,D
ESCO.0216.00154,Environmental,Water,B1
ESCO.0216.00155,Environmental,Water,B1
ESCO.0216.00156,Host-associated,Human_Faecal,B2
ESCO.0216.00157,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00158,Environmental,Water,A
ESCO.0216.00160,Host-associated,Mammal_Faecal,B2
ESCO.0216.00161,Host-associated,Human_Intestinal,B2
ESCO.0216.00162,Host-associated,Bird_Faecal,D
ESCO.0216.00163,Host-associated,Human_Faecal,A
ESCO.0216.00164,Host-associated,Bird_Faecal,A
ESCO.0216.00165,Host-associated,Mammal_Faecal,D
ESCO.0216.00166,Host-associated,Mammal_Faecal,B1
ESCO.0216.00167,Host-associated,Human_Faecal,C
ESCO.0216.00168,Host-associated,Human_Intestinal,B2
ESCO.0216.00169,Environmental,Water,A
ESCO.0216.00171,Host-associated,Mammal_Faecal,B2
ESCO.0216.00172,Environmental,Water,B1
ESCO.0216.00173,Host-associated,Poultry_Meat,B2
ESCO.0216.00174,Host-associated,Human_Faecal,A
ESCO.0216.00175,Host-associated,Mammal_Faecal,B1
ESCO.0216.00176,Environmental,Water,A
ESCO.0216.00177,Host-associated,Bird_Faecal,A
ESCO.0216.00178,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00179,Host-associated,Mammal_Faecal,D
ESCO.0216.00180,Environmental,Water,B1
ESCO.0216.00181,Environmental,Water,B1
ESCO.0216.00182,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00183,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00184,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00185,Host-associated,Bird_Faecal,C
ESCO.0216.00186,Environmental,Water,B2
ESCO.0216.00187,Environmental,Water,D
