GEMBASE_NAME,Isolation source,Strain Category,phylogroup
ESCO.0216.00595,Host-associated,Mammal_Faecal,D
ESCO.0216.00596,Host-associated,Mammal_Faecal,D
ESCO.0216.00597,Host-associated,Bird_Faecal,B2
ESCO.0216.00598,Host-associated,Mammal_Faecal,D
ESCO.0216.00599,Host-associated,Bird_Faecal,B1
ESCO.0216.00600,Host-associated,Poultry_Meat,B1
ESCO.0216.00601,Host-associated,Poultry_Meat,B2
ESCO.0216.00602,Host-associated,Poultry_Meat,E
ESCO.0216.00604,Host-associated,Human_Faecal,B2
ESCO.0216.00605,Host-associated,Human_Extra-intestinal,A
ESCO.0216.00606,Environmental,Water,E
ESCO.0216.00607,Environmental,Water,B1
ESCO.0216.00608,Host-associated,Bird_Faecal,B1
ESCO.0216.00609,Environmental,Water,B1
ESCO.0216.00610,Host-associated,Poultry_Meat,D
ESCO.0216.00611,Environmental,Water,A
ESCO.0216.00612,Host-associated,Human_Extra-intestinal,B1
ESCO.0216.00613,Host-associated,Mammal_Faecal,B1
ESCO.0216.00614,Environmental,Water,D
ESCO.0216.00615,Host-associated,Bird_Faecal,B1
ESCO.0216.00616,Host-associated,Mammal_Faecal,B2
ESCO.0216.00617,Environmental,Water,D
ESCO.0216.00618,Host-associated,Bird_Faecal,B2
ESCO.0216.00619,Host-associated,Poultry_Meat,A
ESCO.0216.00620,Host-associated,Poultry_Meat,B1
ESCO.0216.00621,Host-associated,Bird_Faecal,B2
ESCO.0216.00622,Environmental,Water,A
ESCO.0216.00623,Environmental,Water,B2
ESCO.0216.00624,Host-associated,Poultry_Meat,A
ESCO.0216.00625,Host-associated,Bird_Faecal,B1
ESCO.0216.00626,Host-associated,Bird_Faecal,B1
ESCO.0216.00627,Host-associated,Poultry_Meat,B1
ESCO.0216.00628,Environmental,Water,B2
ESCO.0216.00629,Environmental,Water,A
ESCO.0216.00630,Host-associated,Mammal_Faecal,B2
ESCO.0216.00631,Host-associated,Mammal_Faecal,B1
ESCO.0216.00632,Host-associated,Human_Intestinal,B2
ESCO.0216.00633,Environmental,Water,A
ESCO.0216.00634,Environmental,Water,A
ESCO.0216.00635,Host-associated,Bird_Faecal,A
ESCO.0216.00636,Environmental,Water,B2
ESCO.0216.00637,Host-associated,Mammal_Faecal,B1
ESCO.0216.00638,Environmental,Water,D
ESCO.0216.00639,Environmental,Water,A
ESCO.0216.00640,Host-associated,Human_Extra-intestinal,A
ESCO.0216.00641,Host-associated,Mammal_Faecal,B1
ESCO.0216.00642,Environmental,Water,A
ESCO.0216.00643,Environmental,Water,A
ESCO.0216.00644,Environmental,Water,B1
ESCO.0216.00645,Host-associated,Human_Intestinal,A
ESCO.0216.00646,Environmental,Water,B1
ESCO.0216.00647,Environmental,Water,B1
ESCO.0216.00648,Host-associated,Human_Faecal,B2
ESCO.0216.00649,Host-associated,Human_Extra-intestinal,A
ESCO.0216.00651,Host-associated,Human_Faecal,A
ESCO.0216.00652,Host-associated,Poultry_Meat,E
ESCO.0216.00653,Host-associated,Human_Intestinal,B1
ESCO.0216.00654,Host-associated,Human_Intestinal,D
ESCO.0216.00655,Host-associated,Bird_Faecal,B1
ESCO.0216.00656,Host-associated,Human_Intestinal,B2
ESCO.0216.00657,Host-associated,Bird_Faecal,B1
ESCO.0216.00658,Host-associated,Poultry_Meat,B1
ESCO.0216.00659,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00660,Host-associated,Bird_Faecal,B2
ESCO.0216.00661,Host-associated,Human_Faecal,A
ESCO.0216.00662,Host-associated,Poultry_Meat,A
ESCO.0216.00665,Environmental,Water,A
ESCO.0216.00666,Environmental,Water,B1
ESCO.0216.00667,Host-associated,Poultry_Meat,B2
ESCO.0216.00668,Environmental,Water,A
ESCO.0216.00669,Host-associated,Poultry_Meat,E
ESCO.0216.00670,Host-associated,Human_Faecal,A
ESCO.0216.00671,Environmental,Water,D
ESCO.0216.00672,Environmental,Water,A
ESCO.0216.00673,Environmental,Water,D
ESCO.0216.00674,Environmental,Water,B2
ESCO.0216.00675,Host-associated,Poultry_Meat,A
ESCO.0216.00676,Environmental,Water,A
ESCO.0216.00677,Host-associated,Poultry_Meat,B2
ESCO.0216.00678,Host-associated,Mammal_Faecal,B1
ESCO.0216.00679,Host-associated,Bird_Faecal,B1
ESCO.0216.00680,Environmental,Water,A
ESCO.0216.00681,Host-associated,Poultry_Meat,B1
ESCO.0216.00682,Host-associated,Human_Faecal,B2
ESCO.0216.00683,Host-associated,Bird_Faecal,E
ESCO.0216.00684,Host-associated,Human_Intestinal,D
ESCO.0216.00686,Host-associated,Mammal_Faecal,D
ESCO.0216.00687,Host-associated,Bird_Faecal,B1
ESCO.0216.00688,Host-associated,Bird_Faecal,B1
ESCO.0216.00689,Host-associated,Poultry_Meat,E
ESCO.0216.00690,Host-associated,Mammal_Faecal,A
ESCO.0216.00691,Host-associated,Mammal_Faecal,B1
ESCO.0216.00692,Environmental,Water,D
ESCO.0216.00693,Host-associated,Mammal_Faecal,B1
ESCO.0216.00694,Environmental,Water,D
ESCO.0216.00695,Environmental,Water,B1
ESCO.0216.00696,Host-associated,Mammal_Faecal,D
ESCO.0216.00697,Host-associated,Poultry_Meat,B2
ESCO.0216.00698,Environmental,Water,B1
ESCO.0216.00699,Host-associated,Human_Intestinal,B2
ESCO.0216.00700,Host-associated,Poultry_Meat,E
ESCO.0216.00701,Host-associated,Human_Intestinal,B2
ESCO.0216.00702,Host-associated,Bird_Faecal,D
ESCO.0216.00703,Environmental,Water,D
ESCO.0216.00704,Host-associated,Bird_Faecal,D
ESCO.0216.00705,Host-associated,Poultry_Meat,A
ESCO.0216.00706,Host-associated,Bird_Faecal,D
ESCO.0216.00707,Host-associated,Bird_Faecal,B2
ESCO.0216.00708,Environmental,Water,E
ESCO.0216.00709,Environmental,Water,B1
ESCO.0216.00710,Host-associated,Poultry_Meat,B1
ESCO.0216.00711,Host-associated,Human_Intestinal,D
ESCO.0216.00712,Host-associated,Human_Intestinal,B1
ESCO.0216.00713,Environmental,Water,B1
ESCO.0216.00714,Host-associated,Human_Faecal,A
ESCO.0216.00715,Host-associated,Mammal_Faecal,B2
ESCO.0216.00716,Host-associated,Bird_Faecal,B1
ESCO.0216.00717,Environmental,Water,B2
ESCO.0216.00718,Host-associated,Human_Faecal,A
ESCO.0216.00719,Host-associated,Human_Faecal,A
ESCO.0216.00720,Host-associated,Bird_Faecal,B1
ESCO.0216.00721,Host-associated,Human_Intestinal,B1
ESCO.0216.00722,Host-associated,Bird_Faecal,B1
ESCO.0216.00723,Host-associated,Poultry_Meat,B2
ESCO.0216.00724,Environmental,Water,B1
ESCO.0216.00725,Host-associated,Bird_Faecal,B2
ESCO.0216.00726,Host-associated,Poultry_Meat,A
ESCO.0216.00728,Environmental,Water,E
ESCO.0216.00729,Host-associated,Bird_Faecal,D
ESCO.0216.00730,Environmental,Water,A
ESCO.0216.00731,Environmental,Water,B1
ESCO.0216.00732,Host-associated,Poultry_Meat,B1
ESCO.0216.00733,Host-associated,Poultry_Meat,B1
ESCO.0216.00734,Host-associated,Human_Faecal,A
ESCO.0216.00735,Host-associated,Mammal_Faecal,A
ESCO.0216.00736,Host-associated,Bird_Faecal,D
ESCO.0216.00737,Host-associated,Bird_Faecal,A
ESCO.0216.00738,Environmental,Water,B1
ESCO.0216.00739,Host-associated,Poultry_Meat,E
ESCO.0216.00740,Environmental,Water,B1
ESCO.0216.00741,Host-associated,Human_Intestinal,A
ESCO.0216.00742,Host-associated,Mammal_Faecal,A
ESCO.0216.00743,Environmental,Water,A
ESCO.0216.00744,Host-associated,Human_Intestinal,D
ESCO.0216.00745,Host-associated,Poultry_Meat,B2
ESCO.0216.00746,Host-associated,Human_Intestinal,A
ESCO.0216.00747,Host-associated,Bird_Faecal,B2
ESCO.0216.00748,Host-associated,Human_Intestinal,B2
ESCO.0216.00749,Host-associated,Human_Intestinal,B1
ESCO.0216.00750,Host-associated,Human_Intestinal,B2
ESCO.0216.00751,Host-associated,Poultry_Meat,D
ESCO.0216.00752,Environmental,Water,A
ESCO.0216.00753,Host-associated,Bird_Faecal,B1
ESCO.0216.00754,Host-associated,Human_Faecal,A
ESCO.0216.00755,Environmental,Water,A
ESCO.0216.00756,Environmental,Water,B2
ESCO.0216.00757,Host-associated,Mammal_Faecal,B2
ESCO.0216.00758,Environmental,Water,D
ESCO.0216.00759,Host-associated,Poultry_Meat,A
ESCO.0216.00760,Host-associated,Human_Intestinal,B1
ESCO.0216.00762,Environmental,Water,A
ESCO.0216.00763,Host-associated,Mammal_Faecal,A
ESCO.0216.00764,Host-associated,Poultry_Meat,B1
ESCO.0216.00765,Environmental,Water,A
ESCO.0216.00766,Host-associated,Mammal_Faecal,A
ESCO.0216.00767,Environmental,Water,A
ESCO.0216.00768,Host-associated,Human_Intestinal,B2
ESCO.0216.00769,Environmental,Water,B1
ESCO.0216.00770,Environmental,Water,B1
ESCO.0216.00771,Host-associated,Poultry_Meat,B1
ESCO.0216.00772,Host-associated,Poultry_Meat,E
ESCO.0216.00773,Host-associated,Mammal_Faecal,A
ESCO.0216.00774,Host-associated,Poultry_Meat,A
ESCO.0216.00775,Host-associated,Mammal_Faecal,D
ESCO.0216.00776,Environmental,Water,B1
ESCO.0216.00777,Environmental,Water,B1
ESCO.0216.00778,Host-associated,Poultry_Meat,E
ESCO.0216.00779,Host-associated,Mammal_Faecal,B1
ESCO.0216.00780,Environmental,Water,A
ESCO.0216.00781,Environmental,Water,C
ESCO.0216.00782,Host-associated,Human_Intestinal,B2
ESCO.0216.00783,Host-associated,Poultry_Meat,A
ESCO.0216.00784,Host-associated,Poultry_Meat,A
ESCO.0216.00785,Host-associated,Human_Intestinal,B2
ESCO.0216.00786,Host-associated,Human_Intestinal,D
ESCO.0216.00787,Host-associated,Mammal_Faecal,E
ESCO.0216.00788,Environmental,Water,B1
ESCO.0216.00789,Host-associated,Human_Faecal,A
ESCO.0216.00790,Host-associated,Bird_Faecal,A
ESCO.0216.00791,Host-associated,Bird_Faecal,B1
ESCO.0216.00792,Host-associated,Bird_Faecal,B1
ESCO.0216.00793,Host-associated,Bird_Faecal,E
ESCO.0216.00794,Host-associated,Human_Faecal,A
ESCO.0216.00795,Host-associated,Poultry_Meat,D
ESCO.0216.00796,Host-associated,Human_Intestinal,B2
ESCO.0216.00797,Host-associated,Bird_Faecal,A
ESCO.0216.00798,Environmental,Water,B2
ESCO.0216.00799,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00800,Host-associated,Poultry_Meat,A
ESCO.0216.00801,Host-associated,Poultry_Meat,A
ESCO.0216.00802,Environmental,Water,D
ESCO.0216.00803,Environmental,Water,A
ESCO.0216.00804,Host-associated,Poultry_Meat,B1
ESCO.0216.00805,Environmental,Water,D
ESCO.0216.00806,Environmental,Water,D
ESCO.0216.00807,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00808,Host-associated,Mammal_Faecal,B1
ESCO.0216.00809,Host-associated,Human_Intestinal,B1
ESCO.0216.00810,Host-associated,Human_Faecal,B2
ESCO.0216.00811,Host-associated,Human_Faecal,A
ESCO.0216.00812,Host-associated,Poultry_Meat,E
ESCO.0216.00813,Host-associated,Mammal_Faecal,D
ESCO.0216.00814,Host-associated,Poultry_Meat,B2
ESCO.0216.00815,Host-associated,Human_Faecal,A
ESCO.0216.00816,Host-associated,Mammal_Faecal,B1
ESCO.0216.00817,Host-associated,Mammal_Faecal,D
ESCO.0216.00818,Host-associated,Poultry_Meat,B2
ESCO.0216.00819,Host-associated,Human_Faecal,B2
ESCO.0216.00820,Environmental,Water,B1
ESCO.0216.00821,Host-associated,Human_Intestinal,B2
ESCO.0216.00822,Host-associated,Human_Intestinal,B2
ESCO.0216.00823,Host-associated,Bird_Faecal,A
ESCO.0216.00824,Environmental,Water,B1
ESCO.0216.00825,Host-associated,Human_Intestinal,B1
ESCO.0216.00826,Host-associated,Poultry_Meat,A
ESCO.0216.00827,Host-associated,Human_Intestinal,B2
ESCO.0216.00829,Host-associated,Poultry_Meat,B1
ESCO.0216.00830,Host-associated,Human_Intestinal,B2
ESCO.0216.00831,Host-associated,Bird_Faecal,B1
ESCO.0216.00832,Environmental,Water,B1
ESCO.0216.00833,Host-associated,Poultry_Meat,A
ESCO.0216.00834,Host-associated,Human_Intestinal,B1
ESCO.0216.00835,Host-associated,Poultry_Meat,E
ESCO.0216.00836,Host-associated,Mammal_Faecal,A
ESCO.0216.00837,Host-associated,Poultry_Meat,B1
ESCO.0216.00838,Host-associated,Poultry_Meat,E
ESCO.0216.00839,Environmental,Water,B1
ESCO.0216.00840,Host-associated,Human_Intestinal,B2
ESCO.0216.00841,Host-associated,Bird_Faecal,B2
ESCO.0216.00842,Host-associated,Human_Intestinal,B2
ESCO.0216.00843,Host-associated,Bird_Faecal,B2
ESCO.0216.00844,Host-associated,Human_Intestinal,B2
ESCO.0216.00845,Host-associated,Bird_Faecal,B1
ESCO.0216.00846,Environmental,Water,B1
ESCO.0216.00847,Host-associated,Human_Extra-intestinal,A
ESCO.0216.00848,Host-associated,Poultry_Meat,A
ESCO.0216.00850,Host-associated,Human_Intestinal,B1
ESCO.0216.00851,Environmental,Water,B1
ESCO.0216.00852,Host-associated,Mammal_Faecal,A
ESCO.0216.00853,Host-associated,Bird_Faecal,D
ESCO.0216.00854,Host-associated,Poultry_Meat,A
ESCO.0216.00855,Host-associated,Bird_Faecal,B2
ESCO.0216.00856,Host-associated,Human_Intestinal,B2
ESCO.0216.00857,Host-associated,Bird_Faecal,D
ESCO.0216.00858,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00861,Host-associated,Mammal_Faecal,B2
ESCO.0216.00862,Host-associated,Poultry_Meat,B2
ESCO.0216.00863,Host-associated,Human_Intestinal,A
ESCO.0216.00864,Host-associated,Poultry_Meat,E
ESCO.0216.00865,Host-associated,Bird_Faecal,B1
ESCO.0216.00866,Host-associated,Poultry_Meat,B1
ESCO.0216.00867,Host-associated,Poultry_Meat,B1
ESCO.0216.00868,Environmental,Water,A
ESCO.0216.00869,Host-associated,Poultry_Meat,A
ESCO.0216.00870,Host-associated,Human_Faecal,A
ESCO.0216.00872,Environmental,Water,B1
ESCO.0216.00873,Environmental,Water,B1
ESCO.0216.00874,Host-associated,Poultry_Meat,D
ESCO.0216.00875,Host-associated,Human_Intestinal,D
ESCO.0216.00876,Environmental,Water,B2
ESCO.0216.00877,Environmental,Water,B1
ESCO.0216.00878,Host-associated,Poultry_Meat,B1
ESCO.0216.00879,Host-associated,Poultry_Meat,D
ESCO.0216.00880,Host-associated,Poultry_Meat,D
ESCO.0216.00881,Host-associated,Bird_Faecal,D
ESCO.0216.00882,Host-associated,Human_Faecal,B2
ESCO.0216.00883,Environmental,Water,B2
ESCO.0216.00884,Host-associated,Human_Intestinal,B1
ESCO.0216.00886,Host-associated,Poultry_Meat,E
ESCO.0216.00887,Host-associated,Poultry_Meat,A
ESCO.0216.00888,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00889,Host-associated,Poultry_Meat,D
ESCO.0216.00890,Host-associated,Poultry_Meat,A
ESCO.0216.00891,Host-associated,Bird_Faecal,A
ESCO.0216.00892,Host-associated,Poultry_Meat,A
ESCO.0216.00893,Host-associated,Poultry_Meat,A
ESCO.0216.00894,Environmental,Water,E
ESCO.0216.00895,Host-associated,Human_Intestinal,B1
ESCO.0216.00896,Host-associated,Bird_Faecal,D
ESCO.0216.00897,Host-associated,Human_Faecal,A
ESCO.0216.00898,Host-associated,Human_Intestinal,A
ESCO.0216.00899,Host-associated,Poultry_Meat,B1
ESCO.0216.00900,Host-associated,Mammal_Faecal,A
ESCO.0216.00901,Host-associated,Bird_Faecal,B2
ESCO.0216.00902,Host-associated,Poultry_Meat,A
ESCO.0216.00903,Host-associated,Poultry_Meat,A
ESCO.0216.00904,Host-associated,Bird_Faecal,B2
ESCO.0216.00905,Environmental,Water,A
ESCO.0216.00906,Host-associated,Poultry_Meat,B2
ESCO.0216.00907,Host-associated,Poultry_Meat,B1
ESCO.0216.00908,Host-associated,Poultry_Meat,E
ESCO.0216.00909,Environmental,Water,A
ESCO.0216.00910,Host-associated,Mammal_Faecal,A
ESCO.0216.00911,Host-associated,Human_Intestinal,B2
ESCO.0216.00912,Host-associated,Poultry_Meat,D
ESCO.0216.00913,Environmental,Water,B1
ESCO.0216.00914,Host-associated,Poultry_Meat,D
ESCO.0216.00915,Host-associated,Human_Intestinal,D
ESCO.0216.00916,Environmental,Water,D
ESCO.0216.00917,Host-associated,Human_Intestinal,B2
ESCO.0216.00918,Host-associated,Bird_Faecal,B1
ESCO.0216.00919,Environmental,Water,A
ESCO.0216.00920,Host-associated,Poultry_Meat,D
ESCO.0216.00921,Host-associated,Human_Faecal,A
ESCO.0216.00922,Environmental,Water,D
ESCO.0216.00923,Host-associated,Poultry_Meat,A
ESCO.0216.00924,Host-associated,Human_Intestinal,B2
ESCO.0216.00925,Host-associated,Poultry_Meat,A
ESCO.0216.00926,Host-associated,Mammal_Faecal,D
ESCO.0216.00927,Host-associated,Human_Intestinal,B1
ESCO.0216.00928,Host-associated,Bird_Faecal,B2
ESCO.0216.00929,Host-associated,Mammal_Faecal,A
ESCO.0216.00930,Environmental,Water,A
ESCO.0216.00931,Host-associated,Poultry_Meat,A
ESCO.0216.00932,Host-associated,Mammal_Faecal,B2
ESCO.0216.00933,Host-associated,Human_Intestinal,B2
ESCO.0216.00934,Host-associated,Human_Faecal,A
ESCO.0216.00935,Host-associated,Poultry_Meat,A
ESCO.0216.00936,Host-associated,Poultry_Meat,B1
ESCO.0216.00938,Environmental,Water,B1
ESCO.0216.00939,Host-associated,Mammal_Faecal,E
ESCO.0216.00940,Host-associated,Mammal_Faecal,D
ESCO.0216.00942,Host-associated,Poultry_Meat,E
ESCO.0216.00943,Host-associated,Poultry_Meat,D
ESCO.0216.00944,Host-associated,Poultry_Meat,A
ESCO.0216.00945,Host-associated,Poultry_Meat,A
ESCO.0216.00946,Host-associated,Poultry_Meat,A
ESCO.0216.00947,Environmental,Water,B1
ESCO.0216.00948,Host-associated,Human_Intestinal,D
ESCO.0216.00949,Environmental,Water,B1
ESCO.0216.00951,Host-associated,Human_Faecal,A
ESCO.0216.00952,Environmental,Water,D
ESCO.0216.00953,Host-associated,Human_Intestinal,A
ESCO.0216.00954,Environmental,Water,A
ESCO.0216.00955,Host-associated,Poultry_Meat,A
ESCO.0216.00956,Host-associated,Human_Intestinal,B1
ESCO.0216.00957,Host-associated,Poultry_Meat,E
ESCO.0216.00958,Host-associated,Poultry_Meat,B1
ESCO.0216.00959,Host-associated,Poultry_Meat,D
ESCO.0216.00960,Host-associated,Bird_Faecal,A
ESCO.0216.00961,Host-associated,Human_Faecal,B2
ESCO.0216.00962,Host-associated,Human_Faecal,B2
ESCO.0216.00963,Host-associated,Poultry_Meat,B2
ESCO.0216.00964,Host-associated,Human_Intestinal,D
ESCO.0216.00965,Environmental,Water,B1
ESCO.0216.00966,Host-associated,Poultry_Meat,B1
ESCO.0216.00967,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00968,Host-associated,Poultry_Meat,D
ESCO.0216.00969,Host-associated,Mammal_Faecal,B2
ESCO.0216.00970,Host-associated,Poultry_Meat,A
ESCO.0216.00971,Host-associated,Mammal_Faecal,E
ESCO.0216.00972,Host-associated,Bird_Faecal,A
ESCO.0216.00973,Host-associated,Poultry_Meat,D
ESCO.0216.00974,Host-associated,Poultry_Meat,A
ESCO.0216.00975,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00976,Host-associated,Poultry_Meat,A
ESCO.0216.00977,Environmental,Water,B1
ESCO.0216.00978,Environmental,Water,A
ESCO.0216.00979,Host-associated,Mammal_Faecal,D
ESCO.0216.00980,Host-associated,Human_Intestinal,A
ESCO.0216.00981,Environmental,Water,A
ESCO.0216.00982,Host-associated,Poultry_Meat,D
ESCO.0216.00983,Host-associated,Poultry_Meat,A
ESCO.0216.00984,Host-associated,Bird_Faecal,B2
ESCO.0216.00985,Host-associated,Human_Intestinal,B2
ESCO.0216.00986,Host-associated,Bird_Faecal,D
ESCO.0216.00987,Host-associated,Human_Intestinal,B1
ESCO.0216.00988,Environmental,Water,A
ESCO.0216.00989,Host-associated,Poultry_Meat,A
ESCO.0216.00990,Environmental,Water,A
ESCO.0216.00991,Host-associated,Bird_Faecal,A
ESCO.0216.00992,Host-associated,Bird_Faecal,B2
ESCO.0216.00993,Host-associated,Poultry_Meat,A
ESCO.0216.00994,Host-associated,Human_Faecal,A
ESCO.0216.00995,Host-associated,Human_Extra-intestinal,A
ESCO.0216.00996,Host-associated,Bird_Faecal,B2
ESCO.0216.00997,Host-associated,Poultry_Meat,E
ESCO.0216.00998,Host-associated,Mammal_Faecal,D
ESCO.0216.00999,Host-associated,Human_Intestinal,D
ESCO.0216.01000,Host-associated,Bird_Faecal,B1
ESCO.0216.01001,Host-associated,Poultry_Meat,D
ESCO.0216.01002,Environmental,Water,A
ESCO.0216.01003,Host-associated,Human_Intestinal,B2
ESCO.0216.01004,Host-associated,Poultry_Meat,A
ESCO.0216.01005,Host-associated,Bird_Faecal,A
ESCO.0216.01006,Host-associated,Human_Intestinal,A
ESCO.0216.01007,Host-associated,Poultry_Meat,A
ESCO.0216.01008,Environmental,Water,B1
ESCO.0216.01009,Environmental,Water,B1
ESCO.0216.01010,Host-associated,Poultry_Meat,A
ESCO.0216.01011,Host-associated,Bird_Faecal,A
ESCO.0216.01012,Host-associated,Poultry_Meat,A
ESCO.0216.01013,Host-associated,Poultry_Meat,B2
ESCO.0216.01014,Host-associated,Poultry_Meat,D
ESCO.0216.01015,Environmental,Water,B1
ESCO.0216.01016,Host-associated,Mammal_Faecal,D
ESCO.0216.01017,Host-associated,Human_Extra-intestinal,A
ESCO.0216.01018,Host-associated,Poultry_Meat,B1
ESCO.0216.01019,Environmental,Water,B1
ESCO.0216.01020,Host-associated,Bird_Faecal,A
ESCO.0216.01021,Host-associated,Human_Faecal,A
ESCO.0216.01022,Host-associated,Bird_Faecal,B1
ESCO.0216.01023,Host-associated,Human_Intestinal,D
ESCO.0216.01024,Host-associated,Mammal_Faecal,D
ESCO.0216.01025,Host-associated,Human_Faecal,A
ESCO.0216.01026,Host-associated,Mammal_Faecal,B2
ESCO.0216.01027,Environmental,Water,B1
ESCO.0216.01028,Host-associated,Human_Faecal,C
ESCO.0216.01029,Host-associated,Mammal_Faecal,B1
ESCO.0216.01030,Host-associated,Bird_Faecal,B1
ESCO.0216.01031,Environmental,Water,B1
ESCO.0216.01032,Host-associated,Poultry_Meat,B1
ESCO.0216.01033,Host-associated,Human_Intestinal,B2
ESCO.0216.01034,Host-associated,Mammal_Faecal,B1
ESCO.0216.01035,Environmental,Water,B1
ESCO.0216.01036,Environmental,Water,B1
ESCO.0216.01037,Environmental,Water,A
ESCO.0216.01038,Host-associated,Bird_Faecal,D
ESCO.0216.01039,Host-associated,Human_Intestinal,D
ESCO.0216.01040,Host-associated,Mammal_Faecal,D
ESCO.0216.01041,Host-associated,Bird_Faecal,D
ESCO.0216.01042,Host-associated,Poultry_Meat,A
ESCO.0216.01043,Host-associated,Human_Extra-intestinal,F
ESCO.0216.01044,Host-associated,Poultry_Meat,E
ESCO.0216.01045,Host-associated,Poultry_Meat,A
ESCO.0216.01046,Environmental,Water,B1
ESCO.0216.01047,Host-associated,Human_Extra-intestinal,A
ESCO.0216.01048,Host-associated,Poultry_Meat,A
ESCO.0216.01049,Host-associated,Human_Intestinal,A
ESCO.0216.01050,Host-associated,Human_Faecal,B2
ESCO.0216.01051,Environmental,Water,B1
ESCO.0216.01052,Host-associated,Human_Intestinal,D
ESCO.0216.01053,Environmental,Water,B1
ESCO.0216.01054,Environmental,Water,B1
ESCO.0216.01055,Host-associated,Human_Faecal,B2
ESCO.0216.01056,Environmental,Water,B1
ESCO.0216.01057,Host-associated,Human_Intestinal,D
ESCO.0216.01058,Host-associated,Human_Intestinal,D
ESCO.0216.01059,Host-associated,Bird_Faecal,B2
ESCO.0216.01060,Host-associated,Poultry_Meat,B2
ESCO.0216.01061,Host-associated,Human_Faecal,B2
ESCO.0216.01062,Host-associated,Human_Faecal,A
ESCO.0216.01063,Host-associated,Bird_Faecal,B2
ESCO.0216.01064,Environmental,Water,B1
ESCO.0216.01065,Host-associated,Poultry_Meat,A
ESCO.0216.01066,Host-associated,Poultry_Meat,A
ESCO.0216.01067,Host-associated,Human_Intestinal,B2
ESCO.0216.01068,Host-associated,Bird_Faecal,A
ESCO.0216.01069,Host-associated,Poultry_Meat,B2
ESCO.0216.01070,Host-associated,Poultry_Meat,B1
ESCO.0216.01071,Host-associated,Poultry_Meat,E
ESCO.0216.01072,Host-associated,Poultry_Meat,E
ESCO.0216.01073,Host-associated,Human_Intestinal,D
ESCO.0216.01074,Host-associated,Poultry_Meat,A
ESCO.0216.01075,Host-associated,Poultry_Meat,A
ESCO.0216.01076,Host-associated,Poultry_Meat,D
ESCO.0216.01077,Host-associated,Poultry_Meat,A
ESCO.0216.01078,Environmental,Water,A
ESCO.0216.01079,Host-associated,Human_Faecal,A
ESCO.0216.01080,Host-associated,Poultry_Meat,D
ESCO.0216.01081,Host-associated,Poultry_Meat,A
ESCO.0216.01082,Host-associated,Bird_Faecal,A
ESCO.0216.01083,Host-associated,Human_Intestinal,B2
ESCO.0216.01085,Host-associated,Mammal_Faecal,A
ESCO.0216.01086,Host-associated,Poultry_Meat,A
ESCO.0216.01087,Host-associated,Bird_Faecal,A
ESCO.0216.01088,Host-associated,Poultry_Meat,A
ESCO.0216.01089,Environmental,Water,E
ESCO.0216.01090,Host-associated,Human_Intestinal,B1
ESCO.0216.01091,Environmental,Water,B1
ESCO.0216.01092,Host-associated,Poultry_Meat,B1
ESCO.0216.01094,Host-associated,Mammal_Faecal,B1
ESCO.0216.01095,Host-associated,Poultry_Meat,D
ESCO.0216.01096,Host-associated,Bird_Faecal,A
ESCO.0216.01097,Environmental,Water,B1
ESCO.0216.01098,Host-associated,Human_Intestinal,B1
ESCO.0216.01099,Host-associated,Poultry_Meat,D
ESCO.0216.01100,Environmental,Water,A
ESCO.0216.01101,Host-associated,Bird_Faecal,A
ESCO.0216.01102,Host-associated,Human_Faecal,B2
ESCO.0216.01103,Host-associated,Poultry_Meat,E
ESCO.0216.01105,Host-associated,Human_Faecal,A
ESCO.0216.01106,Host-associated,Poultry_Meat,D
ESCO.0216.01107,Host-associated,Bird_Faecal,A
ESCO.0216.01108,Host-associated,Human_Intestinal,B2
ESCO.0216.01109,Host-associated,Poultry_Meat,A
ESCO.0216.01110,Environmental,Water,E
ESCO.0216.01111,Host-associated,Poultry_Meat,E
ESCO.0216.01112,Host-associated,Human_Faecal,A
ESCO.0216.01113,Host-associated,Poultry_Meat,A
ESCO.0216.01114,Host-associated,Human_Faecal,A
ESCO.0216.01115,Host-associated,Human_Intestinal,A
ESCO.0216.01116,Host-associated,Poultry_Meat,A
ESCO.0216.01117,Host-associated,Human_Intestinal,B1
ESCO.0216.01118,Host-associated,Mammal_Faecal,A
ESCO.0216.01119,Host-associated,Poultry_Meat,D
ESCO.0216.01120,Host-associated,Human_Intestinal,A
ESCO.0216.01121,Host-associated,Poultry_Meat,E
ESCO.0216.01122,Host-associated,Bird_Faecal,A
ESCO.0216.01124,Host-associated,Poultry_Meat,A
ESCO.0216.01125,Host-associated,Poultry_Meat,D
ESCO.0216.01126,Host-associated,Bird_Faecal,D
ESCO.0216.01128,Host-associated,Human_Intestinal,A
ESCO.0216.01129,Host-associated,Human_Faecal,B2
ESCO.0216.01130,Host-associated,Poultry_Meat,A
ESCO.0216.01131,Host-associated,Bird_Faecal,A
ESCO.0216.01132,Host-associated,Bird_Faecal,A
